"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pred_organ_psi[1]",0.130912952547265,0.194045690838779,0.000172476430981265,0.0188049502343658,0.0642649842449214,0.14509989652789,0.849145501802271,1.01340283074196,320
"pred_organ_psi[2]",0.129092964309381,0.196952699514118,0.000221556159308989,0.0169373758272259,0.0562799564676448,0.141449761061685,0.856771302938292,1.00099108883087,1000
"pred_organ_psi[3]",0.160999170359281,0.194277625140779,0.0101147070128272,0.0516074591661215,0.0947049998680112,0.182474994861371,0.875881119058487,1.0000099967424,1000
"pred_organ_psi[4]",0.158756720558882,0.193551018923279,0.0110841892062579,0.0514824852584297,0.0947149988122261,0.174474994625711,0.914066007842662,1.000466346975,1000
"pred_organ_psi[5]",0.219360449101796,0.169544851540865,0.0434862325472006,0.105949964628195,0.169997617630366,0.269224578076625,0.702722332864115,1.00661561641069,280
"pred_organ_p[1]",0.400157841267265,0.379261443568007,0.0000387869413573086,0.0219174790629974,0.29302061360935,0.782024989209323,0.998187496946624,1.00204088394369,870
"pred_organ_p[2]",0.414561184663762,0.383289284409301,0.0000924464049002036,0.0252599466402432,0.311149513899668,0.821674998858992,0.997397499877799,1.00331700403289,900
"pred_organ_p[3]",0.626428289720559,0.337899484936192,0.0183869417322466,0.319248581953319,0.733749984667802,0.936372969311221,0.9997,0.999565709608852,1000
"pred_organ_p[4]",0.660486236227545,0.332361478751027,0.0195194109363945,0.401874717986571,0.780249639538526,0.956274999019599,0.9998,1.00785884746268,1000
"pred_organ_p[5]",0.69393622754491,0.168395562677319,0.303537409940761,0.587999898005428,0.717899993035242,0.820849995431194,0.943629898551392,1.00761784399083,860
"pred.fish",0.564415688622754,0.228757312026893,0.181401386529676,0.371624936960656,0.562899564753784,0.747624988712752,0.962432407520731,1.00401743680595,440
"prev",0.566983133732535,0.227477067961831,0.1923,0.3846,0.5385,0.7308,0.9615,1.00468728569027,390
"prev_org[1]",0.0541598602794411,0.126975767670862,0,0,0,0.03846,0.4615,1.01051279428485,1000
"prev_org[2]",0.0521259880239521,0.117569276063935,0,0,0,0.03846,0.422137500000001,1.00520859462316,1000
"prev_org[3]",0.0759997604790419,0.110787079963575,0.03846,0.03846,0.03846,0.03846,0.4231,0.999632315484083,1000
"prev_org[4]",0.0735817764471058,0.106212146952586,0.03846,0.03846,0.03846,0.03846,0.4231,1.00714248913608,870
"prev_org[5]",0.123416467065868,0.0324631302167543,0.1154,0.1154,0.1154,0.1154,0.1923,1.04617260063515,390
"rss",3.15953493013972,1.15559844129348,1.60202499239545,2.338,2.98099932908412,3.85849990279518,6.01527329083581,1.00063016560648,1000
"rss_sim",3.02434516267465,1.59227840446976,0.230832947963018,1.93749516959289,2.84899842049798,3.83224703708795,6.88497499822968,1.00651606138198,1000
"deviance",15.7363612774451,6.48407189017369,9.25914995263388,10.61,13.5249990757856,18.797499501175,32.6404456821714,1.00046964528175,1000
