"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pred_organ_psi[1]",0.991005389221557,0.0170190106696608,0.944317493678956,0.989424999052512,0.9973,0.9997,1,1.02962579851195,1000
"pred_organ_psi[2]",0.900115668662675,0.0618668374690639,0.753124983831023,0.866149995670829,0.910649998627354,0.9458,0.989384995563723,1.00321048402179,1000
"pred_organ_psi[3]",0.050099103481517,0.175516127102674,0.00000288609504758838,0.000455591610736253,0.0030964989907959,0.0164771425888652,0.882042609256462,1.00196979767835,1000
"pred_organ_psi[4]",0.0409518567494222,0.148521777362882,0.00000150412479785751,0.000583099897148722,0.00411899405195006,0.0174624736584059,0.54769725757843,1.00087701776229,1000
"pred_organ_psi[5]",0.989932734530938,0.0175196035856291,0.937604999480128,0.9884,0.9975,0.9997,1,1.00544961933682,660
"pred_organ_p[1]",0.842295309381238,0.0356170377007902,0.766324984109305,0.8199,0.8445,0.866249995670662,0.909264973703134,0.999930953739786,1000
"pred_organ_p[2]",0.880190918163673,0.045967567154736,0.790917492453663,0.8496,0.879749998579142,0.9158,0.962294999493332,1.00315532879537,620
"pred_organ_p[3]",0.706425664412176,0.291545398806738,0.000983317227036589,0.679298919487298,0.830649998495154,0.879024990400205,0.981157464062269,1.01382395977966,340
"pred_organ_p[4]",0.724410523870858,0.271576167930507,0.00132768268415883,0.712449363767714,0.826049877428718,0.876724759265557,0.990777490030498,1.01004425500654,1000
"pred_organ_p[5]",0.813504790419162,0.0421176433472347,0.718907498474651,0.787049995235776,0.819,0.844749995560466,0.8818,1.00000994209685,1000
"pred.fish",0.952688822355289,0.0361332412563099,0.861202499858493,0.9366,0.960949998699204,0.979149996169887,0.994897499877492,1.00509175504504,460
"prev",1,0,1,1,1,1,1,1,1
"prev_org[1]",1,0,1,1,1,1,1,1,1
"prev_org[2]",0.904733233532934,0.0274014850316805,0.8462,0.8846,0.9231,0.9231,0.9615,1.00016099954078,1000
"prev_org[3]",0.0409562674650699,0.17666968582909,0,0,0,0,0.883640000000001,1.04817467588089,240
"prev_org[4]",0.0309379441117764,0.149637176771993,0,0,0,0,0.537537500000001,1.05915518599088,240
"prev_org[5]",1,0,1,1,1,1,1,1,1
"rss",29.4037125748503,1.75008890575408,26.4104998155028,28.11,29.2449995725765,30.4449987680008,33.1992496694193,1.00076703574681,1000
"rss_sim",29.2515469061876,5.1554019177327,19.1219959317044,25.8299941957943,29.29,32.6374997127244,39.577496915662,1.00411378121015,1000
"deviance",176.948602794411,5.25967478700415,170.4,173.4,176.2,178.4,190.5,1.00203856863184,1000
